Pathogens and Disease,2.166
INTERNATIONAL JOURNAL OF STRESS MANAGEMENT,2.164
Marketing Intelligence & Planning,2.164
Judgment and Decision Making,2.163
Territory Politics Governance,2.163
Global Health Action,2.162
EDUCATIONAL ADMINISTRATION QUARTERLY,2.16
TRANSFUSION MEDICINE,2.159
ENVIRONMENTAL VALUES,2.158
SCHOOL PSYCHOLOGY QUARTERLY,2.158
SOCIOLOGICAL REVIEW,2.158
Eating Behaviors,2.156
JOURNAL OF MEDICAL MICROBIOLOGY,2.156
LAW AND HUMAN BEHAVIOR,2.154
ORGANISMS DIVERSITY & EVOLUTION,2.153
International Journal of Logistics-Research and Applications,2.152
WEST EUROPEAN POLITICS,2.151
Health Care Management Science,2.15
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,2.149
ACADEMIC PSYCHIATRY,2.148
Journal of Studies in International Education,2.148
Cultural Diversity & Ethnic Minority Psychology,2.147
INTERNATIONAL STUDIES QUARTERLY,2.146
AFRICAN AFFAIRS,2.145
European Journal of International Management,2.145
JOURNAL OF APPLIED GERONTOLOGY,2.144
JOURNAL OF LEARNING DISABILITIES,2.144
GIFTED CHILD QUARTERLY,2.14
Photonics,2.14
Econometrics Journal,2.139
INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,2.139
JOURNAL OF CLINICAL PSYCHOLOGY,2.138
JOURNAL OF AGING AND HEALTH,2.136
TEACHING IN HIGHER EDUCATION,2.136
EUROPEAN JOURNAL OF MARKETING,2.135
Clinical Medicine Insights-Oncology,2.133
Borsa Istanbul Review,2.13
SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,2.13
Higher Education Research & Development,2.129
INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES,2.129
Oeconomia Copernicana,2.128
CANADIAN JOURNAL OF REMOTE SENSING,2.126
JOURNAL OF COMPUTER ASSISTED LEARNING,2.126
AUTOIMMUNITY,2.125
Journal of Nutrigenetics and Nutrigenomics,2.125
THINKING & REASONING,2.125
Business Process Management Journal,2.121
JOURNALISM & MASS COMMUNICATION QUARTERLY,2.121
Transactions in GIS,2.119
Journal of Neurosurgery-Pediatrics,2.117
Metals,2.117
VETERINARY JOURNAL,2.115
Creativity and Innovation Management,2.113
International Journal of Implant Dentistry,2.111
MICROCIRCULATION,2.11
Journal of Sustainable Metallurgy,2.109
AIAA JOURNAL,2.108
AUDITING-A JOURNAL OF PRACTICE & THEORY,2.108
INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,2.108
JOURNAL OF CLINICAL MONITORING AND COMPUTING,2.108
ACTA HISTOCHEMICA,2.107
JOURNAL OF EXPERIMENTAL EDUCATION,2.107
PSYCHOLOGY AND AGING,2.107
International Journal of Sport and Exercise Psychology,2.106
BEHAVIOR MODIFICATION,2.105
JOURNAL OF NONLINEAR SCIENCE,2.104
JOURNAL OF ENVIRONMENTAL EDUCATION,2.103
Yale Journal on Regulation,2.103
Feminist Legal Studies,2.097
COGNITIVE AND BEHAVIORAL PRACTICE,2.096
Petroleum Science,2.096
Food Security,2.095
Psychological Services,2.095
Journal of Environmental Planning and Management,2.093
CONFLICT MANAGEMENT AND PEACE SCIENCE,2.092
JOURNAL OF ANIMAL SCIENCE,2.092
Brain and Behavior,2.091
MINERVA,2.089
International Journal of Accounting Information Systems,2.088
JOURNAL OF REGIONAL SCIENCE,2.088
APPLIED SPECTROSCOPY,2.087
EDUCATIONAL TECHNOLOGY & SOCIETY,2.086
Fossil Record,2.081
STRUCTURAL CHEMISTRY,2.081
Children-Basel,2.078
Geomechanics for Energy and the Environment,2.077
PERSONNEL REVIEW,2.074
Agriculture-Basel,2.072
Journal of Choice Modelling,2.071
MACHINING SCIENCE AND TECHNOLOGY,2.071
TESOL QUARTERLY,2.071
BIOMARKERS,2.07
CANADIAN PSYCHOLOGY-PSYCHOLOGIE CANADIENNE,2.068
Ethics and Information Technology,2.068
Thinking Skills and Creativity,2.068
Frontiers in Psychology,2.067
INTERNATIONAL JOURNAL OF DERMATOLOGY,2.067
BRITISH JOURNAL OF INDUSTRIAL RELATIONS,2.066
BURNS,2.066
Swiss Political Science Review,2.065
ACTA ASTRONOMICA,2.063
ECOLOGICAL PSYCHOLOGY,2.063
European Journal of Developmental Psychology,2.063
Research Papers in Education,2.062
ADMINISTRATIVE LAW REVIEW,2.059
Annual Review of Financial Economics,2.057
Disability and Health Journal,2.056
EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,2.056
JOURNAL OF PSYCHOPATHOLOGY AND BEHAVIORAL ASSESSMENT,2.056
Sustainability Accounting Management and Policy Journal,2.056
Canadian Journal of Gastroenterology and Hepatology,2.055
PARASITE IMMUNOLOGY,2.054
MAGNETIC RESONANCE IMAGING,2.053
COLLEGE & RESEARCH LIBRARIES,2.052
CURRENT PSYCHOLOGY,2.051
Cardiovascular Ultrasound,2.051
COGNITIVE DEVELOPMENT,2.05
HEALTH & SOCIAL CARE IN THE COMMUNITY,2.05
MARINE BIOLOGY,2.05
NAUNYN-SCHMIEDEBERGS ARCHIVES OF PHARMACOLOGY,2.05
Parasite,2.05
WASHINGTON LAW REVIEW,2.05
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,2.048
Clinical Sarcoma Research,2.048
FINANCE AND STOCHASTICS,2.048
International Journal of Disaster Risk Science,2.048
STRUCTURAL DESIGN OF TALL AND SPECIAL BUILDINGS,2.048
Journal of Thoracic Disease,2.046
Chinese Optics Letters,2.045
COMPUTING,2.044
CONSCIOUSNESS AND COGNITION,2.044
ANTIVIRAL THERAPY,2.043
Biointerphases,2.043
JOURNAL OF TERRAMECHANICS,2.043
Urban Research & Practice,2.043
EDUCATIONAL REVIEW,2.042
JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,2.042
JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,2.042
Criminology & Public Policy,2.04
LANGUAGE IN SOCIETY,2.04
THEORY AND SOCIETY,2.04
GENOME,2.037
IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,2.037
NEUROUROLOGY AND URODYNAMICS,2.037
MAGNETIC RESONANCE IN CHEMISTRY,2.035
JOURNAL OF SOCIAL ARCHAEOLOGY,2.033
Psychology Research and Behavior Management,2.03
Journal of International Relations and Development,2.028
Annual Review of Linguistics,2.026
CONTEMPORARY ACCOUNTING RESEARCH,2.026
CLIMATE RESEARCH,2.023
Structural Change and Economic Dynamics,2.023
INFANCY,2.021
International Review for the Sociology of Sport,2.019
Asia Pacific Journal of Tourism Research,2.017
MANAGEMENT INTERNATIONAL REVIEW,2.015
DECISION SCIENCES,2.014
JOURNAL OF INTERNATIONAL MONEY AND FINANCE,2.014
Journal of Outdoor Recreation and Tourism-Research Planning and Management,2.014
Eating Disorders,2.013
Evolutionary Biology,2.013
JOURNAL OF ANATOMY,2.013
JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,2.012
PRIMARY CARE,2.01
ACTA MECHANICA SOLIDA SINICA,2.008
International Journal of Environmental Research,2.007
Crime and Justice-A Review of Research,2.0
International Journal of Sustainability in Higher Education,2.0
International Theory,2.0
JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY,2.0
JOURNAL OF INTERNATIONAL ECONOMIC LAW,2.0
MEDIA CULTURE & SOCIETY,2.0
Operations Management Research,2.0
PSYCHOSOMATICS,2.0
RESEARCH ON AGING,2.0
Society and Mental Health,2.0
Urban Policy and Research,2.0
Journal of Physics A-Mathematical and Theoretical,1.996
MICROSURGERY,1.996
IET Image Processing,1.995
Journal of Physical Activity & Health,1.993
JOURNAL OF COMPARATIVE ECONOMICS,1.992
Environmental Progress & Sustainable Energy,1.989
International Journal of Managing Projects in Business,1.989
Journal of Agrarian Change,1.989
PROTIST,1.989
ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,1.988
POLISH JOURNAL OF FOOD AND NUTRITION SCIENCES,1.986
Studies in Educational Evaluation,1.983
INDUSTRIAL AND CORPORATE CHANGE,1.981
INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,1.981
International Journal of Multilingualism,1.981
Health Systems & Reform,1.98
Greenhouse Gases-Science and Technology,1.979
SYSTEM,1.979
EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT,1.978
Journal of Contingencies and Crisis Management,1.977
LEADERSHIP & ORGANIZATION DEVELOPMENT JOURNAL,1.977
JOURNAL OF EMOTIONAL AND BEHAVIORAL DISORDERS,1.976
Abacus-A Journal of Accounting Finance and Business Studies,1.975
Journal of Material Cycles and Waste Management,1.974
ACTA GEOLOGICA SINICA-ENGLISH EDITION,1.973
Economic Analysis and Policy,1.973
POLYMER-PLASTICS TECHNOLOGY AND ENGINEERING,1.973
Revista Portuguesa de Pneumologia,1.973
Journal of Thermal Science,1.972
Sociology of Race and Ethnicity,1.972
Medical Education Online,1.97
CULTURE HEALTH & SEXUALITY,1.969
ADULT EDUCATION QUARTERLY,1.968
Information Systems and E-Business Management,1.968
Palliative & Supportive Care,1.968
HEALTH COMMUNICATION,1.965
Journal of Multinational Financial Management,1.965
AMERICAN ANTIQUITY,1.961
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,1.961
OPHTHALMIC RESEARCH,1.961
Acta Crystallographica A-Foundation and Advances,1.96
JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,1.96
OPEN SYSTEMS & INFORMATION DYNAMICS,1.96
Substance Abuse Treatment Prevention and Policy,1.96
SOCIAL SCIENCE RESEARCH,1.959
Actuators,1.957
JOURNAL OF CONTEMPORARY ASIA,1.957
Australasian Journal of Educational Technology,1.956
SIAM JOURNAL ON APPLIED DYNAMICAL SYSTEMS,1.956
AMERICAN JOURNAL OF THERAPEUTICS,1.955
SOCIAL FORCES,1.953
CALIFORNIA LAW REVIEW,1.952
LEISURE SCIENCES,1.952
Magnetochemistry,1.947
PSYCHIATRIC REHABILITATION JOURNAL,1.946
INTERNATIONAL MIGRATION REVIEW,1.944
REVIEW OF INTERNATIONAL STUDIES,1.944
EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,1.941
Psychology of Men & Masculinity,1.941
International Journal of Stem Cells,1.94
Journal of Vacation Marketing,1.94
JOURNAL OF SPORT & SOCIAL ISSUES,1.939
INTERACTIVE LEARNING ENVIRONMENTS,1.938
DISASTERS,1.937
TRANSFUSION MEDICINE AND HEMOTHERAPY,1.937
Transcultural Psychiatry,1.936
INTERNATIONAL ARCHIVES OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH,1.935
Journal of Management & Organization,1.935
European Journal of Development Research,1.931
JOURNAL OF RISK RESEARCH,1.931
ECONOMIC MODELLING,1.93
International Journal of Evidence-Based Healthcare,1.93
Linguistic Approaches to Bilingualism,1.93
MUSICAE SCIENTIAE,1.93
GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS,1.929
Personality and Mental Health,1.929
HEALTH EDUCATION & BEHAVIOR,1.927
JOURNAL OF TRAUMATIC STRESS,1.926
OPHTHALMOLOGICA,1.926
Journal of Macromarketing,1.925
JOURNAL OF EARLY ADOLESCENCE,1.924
UROLOGY,1.924
Sexual Medicine,1.923
LIPIDS,1.919
PHOTOMEDICINE AND LASER SURGERY,1.918
Journal of Hip Preservation Surgery,1.917
VIBRATIONAL SPECTROSCOPY,1.917
Healthcare,1.916
LEARNING AND INDIVIDUAL DIFFERENCES,1.916
RIVER RESEARCH AND APPLICATIONS,1.916
KNEE,1.913
School Mental Health,1.913
EUROPEAN CYTOKINE NETWORK,1.912
AMERICAN JOURNAL OF THE MEDICAL SCIENCES,1.911
BMC Oral Health,1.911
Musculoskeletal Science and Practice,1.911
Environmental Chemistry,1.91
JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES,1.909
JOURNAL OF PEDIATRIC ORTHOPAEDICS,1.909
LOCAL GOVERNMENT STUDIES,1.909
SOCIAL POLICY & ADMINISTRATION,1.908
Bioscience of Microbiota Food and Health,1.906
Journal of Theoretical and Applied Electronic Commerce Research,1.906
COMMUNICATION THEORY,1.905
JOURNAL OF RESEARCH ON ADOLESCENCE,1.905
Conservation & Society,1.904
REVISTA BRASILEIRA DE PSIQUIATRIA,1.904
Clinical Pharmacology in Drug Development,1.903
JOURNAL OF VOICE,1.903
American Journal of Health Economics,1.902
Chemistry Education Research and Practice,1.902
JOURNAL OF HUMANISTIC PSYCHOLOGY,1.902
JOURNAL OF APPLIED ECONOMETRICS,1.901
POLITICAL STUDIES,1.901
JOURNAL OF ASTHMA,1.899
Progress in Electromagnetics Research-PIER,1.898
Journal of Public Relations Research,1.897
Research in Transportation Economics,1.896
MEMORY,1.895
AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,1.894
AMERICAN HISTORICAL REVIEW,1.894
Asia Pacific Journal of Human Resources,1.894
EUROPEAN SOCIOLOGICAL REVIEW,1.893
HUMAN DEVELOPMENT,1.893
Journal of English for Academic Purposes,1.893
AERA Open,1.892
ETHICS,1.892
Scandinavian Journal of Management,1.891
MATERNAL AND CHILD HEALTH JOURNAL,1.89
CHILD PSYCHIATRY & HUMAN DEVELOPMENT,1.889
European Sport Management Quarterly,1.889
IEEE Transactions on Games,1.886
Journal of Social Marketing,1.884
CLINICAL MEDICINE,1.883
Social Psychology,1.883
Trials,1.883
FEMINISM & PSYCHOLOGY,1.882
Contemporary Security Policy,1.88
Chinese Journal of International Politics,1.879
SYSTEM DYNAMICS REVIEW,1.879
CROP SCIENCE,1.878
MOTIVATION AND EMOTION,1.878
International Communication Gazette,1.877
Journal of Electronic Commerce Research,1.875
Dementia-International Journal of Social Research and Practice,1.874
Political Science Research and Methods,1.874
SOCIAL INDICATORS RESEARCH,1.874
JOURNAL OF HOMOSEXUALITY,1.873
Managerial Auditing Journal,1.87
Journal of Cognition and Development,1.869
Critical Policy Studies,1.868
HEAT AND MASS TRANSFER,1.867
TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,1.867
China & World Economy,1.865
Peptide Science,1.865
Journal of Taibah University for Science,1.863
World Journal of Gastrointestinal Surgery,1.863
Reproductive Biology,1.862
BMC International Health and Human Rights,1.861
Health Sociology Review,1.86
JOURNAL OF PSYCHOACTIVE DRUGS,1.859
Journal of Trauma & Dissociation,1.859
China Perspectives,1.857
JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,1.857
Childrens Geographies,1.856
European Accounting Review,1.855
LUMINESCENCE,1.855
DISABILITY & SOCIETY,1.852
ORGANIZATIONAL DYNAMICS,1.852
MEASUREMENT AND EVALUATION IN COUNSELING AND DEVELOPMENT,1.851
Computer Law & Security Review,1.849
Journal of Environment & Development,1.844
Mediterranean Politics,1.844
Venture Capital,1.844
Memory Studies,1.842
ReCALL,1.842
Teacher Education and Special Education,1.841
JOURNAL OF POPULATION ECONOMICS,1.84
Odontology,1.84
Structures,1.839
Cross Cultural & Strategic Management,1.838
Cultural Trends,1.838
International Journal of Computational Intelligence Systems,1.838
JOURNAL OF FAMILY PSYCHOLOGY,1.836
RESEARCH IN DEVELOPMENTAL DISABILITIES,1.836
ACCOUNTING AND BUSINESS RESEARCH,1.833
Journal of Product and Brand Management,1.832
INTERNATIONAL JOURNAL OF URBAN SCIENCES,1.831
RESOURCE AND ENERGY ECONOMICS,1.829
Economics & Politics,1.828
Journal of Institutional Economics,1.827
INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT,1.826
PUBLIC ADMINISTRATION,1.825
Accounting Forum,1.824
Chinese Journal of Mechanical Engineering,1.824
Freshwater Science,1.821
POPULATION STUDIES-A JOURNAL OF DEMOGRAPHY,1.82
Tourism Economics,1.819
HARVARD EDUCATIONAL REVIEW,1.818
International Review of Economics & Finance,1.818
RESEARCH IN THE TEACHING OF ENGLISH,1.818
BioSocieties,1.817
LUNG,1.817
SOCIAL WORK,1.817
ECONOMIC DEVELOPMENT AND CULTURAL CHANGE,1.816
JOURNAL OF STRATEGIC STUDIES,1.816
SOCIETY & NATURAL RESOURCES,1.813
Public Policy and Administration,1.811
APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,1.81
Revista Brasileira De Reumatologia,1.81
Criminology & Criminal Justice,1.809
BIOSYSTEMS,1.808
Race Ethnicity and Education,1.807
INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT,1.806
JOURNAL OF PUBLIC HEALTH,1.806
Landscape Research,1.806
CORROSION,1.804
Journal of Radiation Research and Applied Sciences,1.804
Global Mental Health,1.803
Research in International Business and Finance,1.801
CHILD AND ADOLESCENT PSYCHIATRIC CLINICS OF NORTH AMERICA,1.8
Research in Organizational Behavior,1.8
BIOETHICS,1.799
3 Biotech,1.798
Journal of Asian Economics,1.797
Self and Identity,1.797
VIOLENCE AGAINST WOMEN,1.797
Journal of Brand Management,1.795
Journal of Global History,1.795
QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,1.795
International Journal of Educational Research,1.794
YOUTH & SOCIETY,1.794
Mass Communication and Society,1.792
TERRORISM AND POLITICAL VIOLENCE,1.792
CARDIOLOGY,1.791
Education and Training,1.791
Global Public Health,1.791
International Journal of Climate Change Strategies and Management,1.791
Journal of Educational Change,1.791
Journal of Chemistry,1.79
AMERICAN ANTHROPOLOGIST,1.788
Policing-A Journal of Policy and Practice,1.788
Environmental Communication-A Journal of Nature and Culture,1.787
HealthCare-The Journal of Delivery Science and Innovation,1.785
BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION,1.782
Cooperation and Conflict,1.78
RACE & CLASS,1.78
INTERNATIONAL JOURNAL OF PUBLIC OPINION RESEARCH,1.779
Applied Spatial Analysis and Policy,1.778
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,1.778
JOURNAL OF MANAGEMENT INQUIRY,1.778
AJIDD-American Journal on Intellectual and Developmental Disabilities,1.776
CHILDHOOD-A GLOBAL JOURNAL OF CHILD RESEARCH,1.776
Energy & Environment,1.775
JOURNAL OF SEX & MARITAL THERAPY,1.775
PUBLIC HEALTH,1.774
APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,1.773
SPINAL CORD,1.773
CHEMICAL PHYSICS,1.771
Journal of Information Technology & Politics,1.771
AMERICAN JOURNAL OF ORTHOPSYCHIATRY,1.769
AGEING & SOCIETY,1.768
JOURNAL OF NONVERBAL BEHAVIOR,1.767
Spatial Cognition and Computation,1.767
AIDS RESEARCH AND HUMAN RETROVIRUSES,1.765
EDUCATIONAL POLICY,1.765
NONPROFIT AND VOLUNTARY SECTOR QUARTERLY,1.764
CONGENITAL ANOMALIES,1.761
Collabra-Psychology,1.761
WORLD BANK ECONOMIC REVIEW,1.761
GENESIS,1.76
THERAPIE,1.76
Operational Research,1.759
Energy Sources Part B-Economics Planning and Policy,1.758
NEUROPATHOLOGY,1.758
Parkinsons Disease,1.758
JOURNAL OF RISK AND UNCERTAINTY,1.756
JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,1.755
Journal of the Economics of Ageing,1.755
THIRD WORLD QUARTERLY,1.754
BRITISH EDUCATIONAL RESEARCH JOURNAL,1.752
Universe,1.752
AGING NEUROPSYCHOLOGY AND COGNITION,1.75
ANNALS OF REGIONAL SCIENCE,1.75
Crime Media Culture,1.75
Journal of Public Policy,1.75
MILLENNIUM-JOURNAL OF INTERNATIONAL STUDIES,1.75
Psychogeriatrics,1.75
NEPHROLOGY,1.749
Mathematics,1.747
Democratization,1.745
ECONOMICS LETTERS,1.745
SMALL GROUP RESEARCH,1.745
EUROPEAN ECONOMIC REVIEW,1.744
Social Movement Studies,1.743
World Journal Of Emergency Medicine,1.743
Israel Journal of Health Policy Research,1.741
Journal of Cultural Economics,1.74
INSTRUCTIONAL SCIENCE,1.734
JOURNAL OF CONSUMER AFFAIRS,1.733
JOURNAL OF SPECIAL EDUCATION,1.732
Science and Public Policy,1.73
Discourse-Studies in the Cultural Politics of Education,1.729
IMF Economic Review,1.727
Journal of Legal Analysis,1.727
Mental Health and Physical Activity,1.727
WRITTEN COMMUNICATION,1.727
JOURNAL OF DOCUMENTATION,1.725
HERD-Health Environments Research & Design Journal,1.724
PSYCHIATRISCHE PRAXIS,1.723
Journal of Primary Prevention,1.722
BEHAVIORAL MEDICINE,1.721
CROSS-CULTURAL RESEARCH,1.721
Journal of Early Childhood Literacy,1.721
ETHNIC AND RACIAL STUDIES,1.72
Games for Health Journal,1.72
Baltic Journal of Management,1.719
Journal of Industrial Relations,1.719
Journal of Marketing Management,1.719
JOURNAL OF ECONOMIC PSYCHOLOGY,1.718
Orthopaedic Surgery,1.718
CAMBRIDGE JOURNAL OF ECONOMICS,1.717
JOURNAL OF BEHAVIORAL DECISION MAKING,1.715
BEHAVIORAL NEUROSCIENCE,1.714
Convergence-The International Journal of Research into New Media Technologies,1.714
SOCIOLOGICAL FORUM,1.713
Analysis & PDE,1.712
Psychology of Music,1.712
ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,1.711
BIOMETRICS,1.711
LINGUISTICS AND PHILOSOPHY,1.711
CULTURE & PSYCHOLOGY,1.71
JOURNAL OF AMERICAN COLLEGE HEALTH,1.71
JOURNAL OF HIGHER EDUCATION,1.708
Journal of Consumer Behaviour,1.708
KYKLOS,1.708
Language Testing,1.708
Medicine Health Care and Philosophy,1.708
GOLD BULLETIN,1.706
Journal of Fashion Marketing and Management,1.706
Language and Education,1.705
SCIENCE AS CULTURE,1.705
Maritime Economics & Logistics,1.703
Distance Education,1.702
European Security,1.698
Archives of Control Sciences,1.697
MEMORY & COGNITION,1.694
FOREST SCIENCE,1.693
GEOGRAPHICAL ANALYSIS,1.69
Journal of Contemporary Accounting & Economics,1.69
Qualitative Research in Psychology,1.69
Research in Autism Spectrum Disorders,1.688
Social Policy and Society,1.685
Applied Research in Quality of Life,1.683
HUMAN ECOLOGY,1.683
FINANCIAL ANALYSTS JOURNAL,1.682
INFANT BEHAVIOR & DEVELOPMENT,1.682
ETHNOS,1.681
ZOOLOGY,1.681
CHEMICAL PAPERS,1.68
Annual Review of Applied Linguistics,1.679
Journal of Youth Studies,1.679
FINANCIAL MANAGEMENT,1.677
JOURNAL OF FINANCIAL MARKETS,1.677
Journal of Cardiovascular Nursing,1.675
Journal of Development Effectiveness,1.674
International Public Management Journal,1.672
Nonprofit Management & Leadership,1.672
European Journal of Criminology,1.671
JOURNAL OF MASS SPECTROMETRY,1.671
Body & Society,1.667
